fold,model_type,task_type,score_type,score_val
4,node2vec_sg,clf_ec,precision,0.6046511627906976
4,node2vec_sg,clf_ec,recall,0.6190476190476191
4,node2vec_sg,clf_ec_full,au_roc,0.690921690921691
4,node2vec_sg,clf_ec_full,precision,0.6333333333333333
4,node2vec_sg,clf_ec_full,recall,0.5135135135135135
4,node2vec_cbow,edge_pred,au_roc,0.7201523760562573
4,node2vec_cbow,edge_pred,precision,0.5360217489805166
4,node2vec_cbow,edge_pred,recall,0.9833748960931006
4,node2vec_cbow,clf_kinase_substrate,au_roc,0.7224371373307544
4,node2vec_cbow,clf_kinase_substrate,precision,0.7395833333333334
4,node2vec_cbow,clf_kinase_substrate,recall,0.6454545454545455
4,node2vec_cbow,clf_ec,au_roc,0.6669172932330827
4,node2vec_cbow,clf_ec,precision,0.684931506849315
4,node2vec_cbow,clf_ec,recall,0.5952380952380952
4,node2vec_cbow,clf_ec_full,au_roc,0.7373527373527373
